code_commune_INSEE;nom_commune_postal;latitude;longitude
01323;REYSSOUZE;46.42855691;4.912850563
01325;RIGNIEUX LE FRANC;45.95187627;5.169366711
01328;ROMANS;46.12375208;5.021713118
01329;ROSSILLON;45.83638546;5.59926863
01330;RUFFIEU;46.00371089;5.653223915
01331;ST ALBAN;46.09833355;5.455738398
01332;ST ANDRE DE BAGE;46.29854157;4.914115658
01333;ST ANDRE DE CORCY;45.92700195;4.953733245
01334;ST ANDRE D HUIRIAT;46.21409609;4.912913588
01335;ST ANDRE LE BOUCHOUX;46.11313996;5.08023769
01336;ST ANDRE SUR VIEUX JONC;46.14924105;5.141752001
01337;ST BENIGNE;46.45191732;4.953098259
01338;GROSLEE ST BENOIT;45.68918423;5.584397256
01339;ST BERNARD;45.94938306;4.742766285
01341;ST CHAMP;45.7825741;5.732653146
01342;STE CROIX;45.89552248;5.049355362
01343;ST CYR SUR MENTHON;46.27540056;4.967571052
01344;ST DENIS LES BOURG;46.21119985;5.184628068
01345;ST DENIS EN BUGEY;45.94885512;5.323677017
01346;ST DIDIER D AUSSIAT;46.30699921;5.058206977
01347;ST DIDIER DE FORMANS;45.95649261;4.777667649
01348;ST DIDIER SUR CHALARONNE;46.18404087;4.816456662
01349;ST ELOI;45.93224949;5.151870412
01350;ST ETIENNE DU BOIS;46.27494473;5.284285576
01351;ST ETIENNE SUR CHALARONNE;46.14680596;4.866964542
01352;ST ETIENNE SUR REYSSOUZE;46.4030399;5.006055816
01353;STE EUPHEMIE;45.96697983;4.794781892
01354;ST GENIS POUILLY;46.25453933;6.036290735
01355;ST GENIS SUR MENTHON;46.28159556;5.013118264
01356;ST GEORGES SUR RENON;46.10379513;5.030019675
01357;ST GERMAIN DE JOUX;46.18219554;5.746722598
01358;ST GERMAIN LES PAROISSES;45.77097492;5.617534408
01359;ST GERMAIN SUR RENON;46.07972854;5.06090904
01360;ST JEAN DE GONVILLE;46.21785857;5.942030938
01361;ST JEAN DE NIOST;45.84050026;5.211674305
01362;ST JEAN DE THURIGNEUX;45.95984243;4.899364107
01363;ST JEAN LE VIEUX;46.02914377;5.382528355
01364;ST JEAN SUR REYSSOUZE;46.39724799;5.062977638
01365;ST JEAN SUR VEYLE;46.26836321;4.92198367
01366;STE JULIE;45.88197232;5.284523046
01367;ST JULIEN SUR REYSSOUZE;46.39976555;5.10354296
01368;ST JULIEN SUR VEYLE;46.20148621;4.959356342
01369;ST JUST;46.19297586;5.284941814
01370;ST LAURENT SUR SAONE;46.30514863;4.839492027
